size,time,case
25,0.000004,w
25,0.000003,w
25,0.000003,w
25,0.000003,w
25,0.000004,w
25,0.000003,w
25,0.000003,w
25,0.000003,w
25,0.000004,w
25,0.000003,w
25,0.000003,w
25,0.000003,w
25,0.000004,w
25,0.000003,w
25,0.000003,w
25,0.000004,w
25,0.000003,w
25,0.000004,w
25,0.000003,w
25,0.000003,w
100,0.000035,a
100,0.000034,a
100,0.000034,a
100,0.000034,a
100,0.000034,a
100,0.000036,a
100,0.000033,a
100,0.000033,a
100,0.000034,a
100,0.000046,a
100,0.000042,a
100,0.000050,a
100,0.000034,a
100,0.000037,a
100,0.000049,a
100,0.000076,a
100,0.000045,a
100,0.000044,a
100,0.000046,a
100,0.000045,a
500,0.000753,a
500,0.001048,a
500,0.001029,a
500,0.000924,a
500,0.000703,a
500,0.000834,a
500,0.001021,a
500,0.001045,a
500,0.001385,a
500,0.000853,a
500,0.000763,a
500,0.000717,a
500,0.001829,a
500,0.001135,a
500,0.001125,a
500,0.000695,a
500,0.000659,a
500,0.000722,a
500,0.000699,a
500,0.000705,a
1000,0.002938,a
1000,0.002628,a
1000,0.002665,a
1000,0.002589,a
1000,0.002622,a
1000,0.005000,a
1000,0.003888,a
1000,0.003143,a
1000,0.003192,a
1000,0.002893,a
1000,0.002802,a
1000,0.002570,a
1000,0.002665,a
1000,0.002682,a
1000,0.002804,a
1000,0.002708,a
1000,0.002718,a
1000,0.002671,a
1000,0.002771,a
1000,0.002636,a
5000,0.080485,a
5000,0.077393,a
5000,0.078106,a
5000,0.115247,a
5000,0.116894,a
5000,0.151250,a
5000,0.114370,a
5000,0.080725,a
5000,0.085531,a
5000,0.079958,a
5000,0.080407,a
5000,0.076768,a
5000,0.075427,a
5000,0.078777,a
5000,0.078538,a
5000,0.074717,a
5000,0.076814,a
5000,0.080150,a
5000,0.076244,a
5000,0.074205,a
10000,0.341490,a
10000,0.335782,a
10000,0.336752,a
10000,0.350721,a
10000,0.499714,a
10000,0.348168,a
10000,0.338912,a
10000,0.343697,a
10000,0.344325,a
10000,0.335397,a
10000,0.338981,a
10000,0.335254,a
10000,0.334741,a
10000,0.336166,a
10000,0.337968,a
10000,0.331990,a
10000,0.328989,a
10000,0.330346,a
10000,0.339745,a
10000,0.336079,a
