size,time,case
25,0.000004,w
25,0.000002,w
25,0.000003,w
25,0.000003,w
25,0.000003,w
25,0.000002,w
25,0.000003,w
25,0.000003,w
25,0.000002,w
25,0.000003,w
25,0.000003,w
25,0.000002,w
25,0.000002,w
25,0.000003,w
25,0.000003,w
25,0.000002,w
25,0.000003,w
25,0.000003,w
25,0.000003,w
25,0.000003,w
100,0.000048,w
100,0.000052,w
100,0.000030,w
100,0.000030,w
100,0.000030,w
100,0.000030,w
100,0.000065,w
100,0.000048,w
100,0.000057,w
100,0.000054,w
100,0.000055,w
100,0.000054,w
100,0.000050,w
100,0.000052,w
100,0.000053,w
100,0.000061,w
100,0.000052,w
100,0.000046,w
100,0.000050,w
100,0.000082,w
500,0.001265,w
500,0.001300,w
500,0.001427,w
500,0.001087,w
500,0.000728,w
500,0.000721,w
500,0.000771,w
500,0.000731,w
500,0.000732,w
500,0.000846,w
500,0.000867,w
500,0.000725,w
500,0.000861,w
500,0.003297,w
500,0.000984,w
500,0.000720,w
500,0.000792,w
500,0.000737,w
500,0.000728,w
500,0.000746,w
1000,0.004063,w
1000,0.003607,w
1000,0.003413,w
1000,0.002900,w
1000,0.004779,w
1000,0.003524,w
1000,0.002753,w
1000,0.002672,w
1000,0.002956,w
1000,0.002714,w
1000,0.002895,w
1000,0.003187,w
1000,0.002711,w
1000,0.002701,w
1000,0.002696,w
1000,0.002847,w
1000,0.002983,w
1000,0.002869,w
1000,0.002907,w
1000,0.002904,w
5000,0.084303,w
5000,0.075543,w
5000,0.076260,w
5000,0.080334,w
5000,0.077256,w
5000,0.074557,w
5000,0.075465,w
5000,0.078458,w
5000,0.076589,w
5000,0.073228,w
5000,0.077537,w
5000,0.076909,w
5000,0.077446,w
5000,0.080098,w
5000,0.076503,w
5000,0.074811,w
5000,0.073822,w
5000,0.080056,w
5000,0.077426,w
5000,0.077088,w
10000,0.394627,w
10000,0.366738,w
10000,0.393962,w
10000,0.352395,w
10000,0.361780,w
10000,0.363736,w
10000,0.474810,w
10000,0.310925,w
10000,0.305062,w
10000,0.302861,w
10000,0.318918,w
10000,0.305706,w
10000,0.306657,w
10000,0.304771,w
10000,0.301875,w
10000,0.302111,w
10000,0.299146,w
10000,0.310563,w
10000,0.299496,w
10000,0.302617,w
