size,time
100,0.000021
100,0.000016
100,0.000018
100,0.000016
100,0.000011
100,0.000010
100,0.000009
100,0.000010
100,0.000014
100,0.000016
1000,0.000197
1000,0.000258
1000,0.000234
1000,0.000261
1000,0.000299
1000,0.000202
1000,0.000159
1000,0.000159
1000,0.000170
1000,0.000158
10000,0.003038
10000,0.002374
10000,0.002111
10000,0.002960
10000,0.002652
10000,0.002083
10000,0.002992
10000,0.001964
10000,0.002097
10000,0.002786
100000,0.033871
100000,0.029952
100000,0.030048
100000,0.027205
100000,0.026706
100000,0.026957
100000,0.027475
100000,0.043492
100000,0.049199
100000,0.041373
10000,0.003184
10000,0.002270
10000,0.002694
10000,0.002658
10000,0.004774
10000,0.002105
10000,0.002092
10000,0.002053
10000,0.002123
10000,0.002777
