size,time
100,0.000021
100,0.000015
100,0.000011
100,0.000010
100,0.000010
100,0.000012
100,0.000012
100,0.000012
100,0.000013
100,0.000011
1000,0.000207
1000,0.000229
1000,0.000205
1000,0.000207
1000,0.000240
1000,0.000200
1000,0.000223
1000,0.000204
1000,0.000264
1000,0.000205
10000,0.002495
10000,0.002112
10000,0.002660
10000,0.002508
10000,0.002498
10000,0.002344
10000,0.002633
10000,0.002921
10000,0.003226
10000,0.002808
100000,0.094082
100000,0.059424
100000,0.076894
100000,0.041592
100000,0.076505
100000,0.099814
100000,0.111646
100000,0.031640
100000,0.050257
100000,0.038686

