size,time,case
25,0.000004,w
25,0.000003,w
25,0.000002,w
25,0.000003,w
25,0.000003,w
25,0.000003,w
25,0.000002,w
25,0.000002,w
25,0.000002,w
25,0.000003,w
25,0.000005,w
25,0.000004,w
25,0.000002,w
25,0.000002,w
25,0.000003,w
25,0.000003,w
25,0.000005,w
25,0.000005,w
25,0.000003,w
25,0.000005,w
100,0.000016,a
100,0.000019,a
100,0.000017,a
100,0.000018,a
100,0.000017,a
100,0.000017,a
100,0.000019,a
100,0.000014,a
100,0.000013,a
100,0.000015,a
100,0.000018,a
100,0.000016,a
100,0.000016,a
100,0.000018,a
100,0.000018,a
100,0.000017,a
100,0.000014,a
100,0.000014,a
100,0.000014,a
100,0.000014,a
500,0.000513,a
500,0.000613,a
500,0.000443,a
500,0.000534,a
500,0.000798,a
500,0.000512,a
500,0.000580,a
500,0.000418,a
500,0.000606,a
500,0.000410,a
500,0.000329,a
500,0.000321,a
500,0.000356,a
500,0.000304,a
500,0.000347,a
500,0.000360,a
500,0.000401,a
500,0.000365,a
500,0.000415,a
500,0.000313,a
1000,0.002198,a
1000,0.001723,a
1000,0.001721,a
1000,0.001300,a
1000,0.001660,a
1000,0.001641,a
1000,0.001569,a
1000,0.002053,a
1000,0.001440,a
1000,0.001544,a
1000,0.001257,a
1000,0.001173,a
1000,0.001352,a
1000,0.001221,a
1000,0.001850,a
1000,0.001357,a
1000,0.001093,a
1000,0.001377,a
1000,0.001378,a
1000,0.001180,a
5000,0.039426,a
5000,0.036209,a
5000,0.031772,a
5000,0.027405,a
5000,0.035063,a
5000,0.040651,a
5000,0.039901,a
5000,0.031131,a
5000,0.036863,a
5000,0.028087,a
5000,0.039743,a
5000,0.032868,a
5000,0.033540,a
5000,0.030012,a
5000,0.029824,a
5000,0.041827,a
5000,0.029629,a
5000,0.033942,a
5000,0.038175,a
5000,0.040951,a
10000,0.158991,a
10000,0.152206,a
10000,0.114861,a
10000,0.144323,a
10000,0.123095,a
10000,0.122477,a
10000,0.126935,a
10000,0.140004,a
10000,0.180478,a
10000,0.133667,a
10000,0.224622,a
10000,0.343062,a
10000,0.129474,a
10000,0.151894,a
10000,0.133206,a
10000,0.148334,a
10000,0.169737,a
10000,0.166075,a
10000,0.139187,a
10000,0.181534,a
