size,time,case
25,0.000003,w
25,0.000002,w
25,0.000001,w
25,0.000002,w
25,0.000001,w
25,0.000001,w
25,0.000003,w
25,0.000001,w
25,0.000001,w
25,0.000002,w
25,0.000001,w
25,0.000002,w
25,0.000001,w
25,0.000002,w
25,0.000001,w
25,0.000002,w
25,0.000002,w
25,0.000001,w
25,0.000001,w
25,0.000001,w
100,0.000004,w
100,0.000002,w
100,0.000002,w
100,0.000002,w
100,0.000002,w
100,0.000002,w
100,0.000002,w
100,0.000001,w
100,0.000002,w
100,0.000002,w
100,0.000003,w
100,0.000002,w
100,0.000002,w
100,0.000002,w
100,0.000002,w
100,0.000004,w
100,0.000002,w
100,0.000002,w
100,0.000004,w
100,0.000002,w
500,0.000004,w
500,0.000003,w
500,0.000003,w
500,0.000002,w
500,0.000003,w
500,0.000003,w
500,0.000003,w
500,0.000004,w
500,0.000003,w
500,0.000003,w
500,0.000003,w
500,0.000003,w
500,0.000004,w
500,0.000003,w
500,0.000003,w
500,0.000003,w
500,0.000003,w
500,0.000003,w
500,0.000003,w
500,0.000004,w
1000,0.000007,w
1000,0.000011,w
1000,0.000009,w
1000,0.000008,w
1000,0.000010,w
1000,0.000008,w
1000,0.000008,w
1000,0.000009,w
1000,0.000008,w
1000,0.000008,w
1000,0.000006,w
1000,0.000008,w
1000,0.000008,w
1000,0.000008,w
1000,0.000008,w
1000,0.000008,w
1000,0.000006,w
1000,0.000004,w
1000,0.000005,w
1000,0.000005,w
5000,0.000033,w
5000,0.000034,w
5000,0.000038,w
5000,0.000034,w
5000,0.000035,w
5000,0.000037,w
5000,0.000034,w
5000,0.000102,w
5000,0.000035,w
5000,0.000034,w
5000,0.000035,w
5000,0.000036,w
5000,0.000034,w
5000,0.000040,w
5000,0.000036,w
5000,0.000033,w
5000,0.000037,w
5000,0.000040,w
5000,0.000034,w
5000,0.000035,w
10000,0.000074,w
10000,0.000070,w
10000,0.000043,w
10000,0.000044,w
10000,0.000057,w
10000,0.000080,w
10000,0.000043,w
10000,0.000039,w
10000,0.000039,w
10000,0.000040,w
10000,0.000043,w
10000,0.000066,w
10000,0.000044,w
10000,0.000040,w
10000,0.000042,w
10000,0.000039,w
10000,0.000039,w
10000,0.000039,w
10000,0.000060,w
10000,0.000043,w
