size,time,case
25,0.000004,w
25,0.000003,w
25,0.000002,w
25,0.000002,w
25,0.000002,w
25,0.000002,w
25,0.000002,w
25,0.000002,w
25,0.000002,w
25,0.000002,w
25,0.000002,w
25,0.000002,w
25,0.000002,w
25,0.000002,w
25,0.000003,w
25,0.000002,w
25,0.000002,w
25,0.000002,w
25,0.000002,w
25,0.000002,w
100,0.000038,w
100,0.000038,w
100,0.000030,w
100,0.000031,w
100,0.000030,w
100,0.000033,w
100,0.000038,w
100,0.000033,w
100,0.000020,w
100,0.000020,w
100,0.000035,w
100,0.000034,w
100,0.000032,w
100,0.000034,w
100,0.000038,w
100,0.000028,w
100,0.000036,w
100,0.000041,w
100,0.000034,w
100,0.000039,w
500,0.000535,w
500,0.000755,w
500,0.000824,w
500,0.000606,w
500,0.000482,w
500,0.000461,w
500,0.000480,w
500,0.000489,w
500,0.000462,w
500,0.000507,w
500,0.000462,w
500,0.000582,w
500,0.000505,w
500,0.000463,w
500,0.000475,w
500,0.000463,w
500,0.000480,w
500,0.000466,w
500,0.000562,w
500,0.000564,w
1000,0.003167,w
1000,0.002671,w
1000,0.001871,w
1000,0.002125,w
1000,0.002084,w
1000,0.001888,w
1000,0.002188,w
1000,0.002348,w
1000,0.002548,w
1000,0.002155,w
1000,0.001934,w
1000,0.001859,w
1000,0.002303,w
1000,0.002061,w
1000,0.001905,w
1000,0.002174,w
1000,0.001796,w
1000,0.001797,w
1000,0.001751,w
1000,0.001815,w
5000,0.052202,w
5000,0.049336,w
5000,0.050544,w
5000,0.047163,w
5000,0.048200,w
5000,0.046733,w
5000,0.047371,w
5000,0.046899,w
5000,0.047209,w
5000,0.050923,w
5000,0.050697,w
5000,0.047215,w
5000,0.048112,w
5000,0.048455,w
5000,0.049250,w
5000,0.046469,w
5000,0.050117,w
5000,0.047947,w
5000,0.052522,w
5000,0.051601,w
10000,0.197180,w
10000,0.195641,w
10000,0.193677,w
10000,0.188140,w
10000,0.199815,w
10000,0.192838,w
10000,0.187808,w
10000,0.190537,w
10000,0.189901,w
10000,0.198230,w
10000,0.292072,w
10000,0.281700,w
10000,0.370319,w
10000,0.211031,w
10000,0.197266,w
10000,0.193783,w
10000,0.252216,w
10000,0.277404,w
10000,0.262513,w
10000,0.226400,w
