size,time,case
100,0.000102,a
100,0.000022,a
100,0.000021,a
100,0.000024,a
100,0.000024,a
100,0.000027,a
100,0.000025,a
100,0.000025,a
100,0.000020,a
100,0.000019,a
100,0.000022,a
100,0.000021,a
100,0.000021,a
100,0.000024,a
100,0.000021,a
100,0.000023,a
100,0.000024,a
100,0.000018,a
100,0.000020,a
100,0.000022,a
1000,0.000335,a
1000,0.000280,a
1000,0.000237,a
1000,0.000236,a
1000,0.000271,a
1000,0.000156,a
1000,0.000154,a
1000,0.000153,a
1000,0.000153,a
1000,0.000151,a
1000,0.000169,a
1000,0.000153,a
1000,0.000151,a
1000,0.000154,a
1000,0.000165,a
1000,0.000151,a
1000,0.000166,a
1000,0.000155,a
1000,0.000153,a
1000,0.000153,a
10000,0.002784
10000,0.002421
10000,0.003347
10000,0.003382
10000,0.002985
10000,0.002535
10000,0.002383
10000,0.003002
10000,0.004278
10000,0.002227
