size,time,case
25,0.000009,w
25,0.000003,w
25,0.000003,w
25,0.000006,w
25,0.000004,w
25,0.000004,w
25,0.000005,w
25,0.000005,w
25,0.000005,w
25,0.000005,w
25,0.000005,w
25,0.000004,w
25,0.000004,w
25,0.000004,w
25,0.000004,w
25,0.000003,w
25,0.000003,w
25,0.000005,w
25,0.000004,w
25,0.000004,w
100,0.000011,w
100,0.000010,w
100,0.000009,w
100,0.000010,w
100,0.000009,w
100,0.000009,w
100,0.000009,w
100,0.000009,w
100,0.000010,w
100,0.000010,w
100,0.000009,w
100,0.000009,w
100,0.000010,w
100,0.000013,w
100,0.000010,w
100,0.000010,w
100,0.000010,w
100,0.000009,w
100,0.000010,w
100,0.000009,w
500,0.000050,w
500,0.000048,w
500,0.000047,w
500,0.000046,w
500,0.000047,w
500,0.000047,w
500,0.000048,w
500,0.000047,w
500,0.000048,w
500,0.000048,w
500,0.000048,w
500,0.000048,w
500,0.000047,w
500,0.000048,w
500,0.000047,w
500,0.000047,w
500,0.000063,w
500,0.000046,w
500,0.000047,w
500,0.000056,w
1000,0.000196,w
1000,0.000193,w
1000,0.000217,w
1000,0.000178,w
1000,0.000185,w
1000,0.000104,w
1000,0.000103,w
1000,0.000105,w
1000,0.000104,w
1000,0.000104,w
1000,0.000105,w
1000,0.000139,w
1000,0.000152,w
1000,0.000152,w
1000,0.000155,w
1000,0.000153,w
1000,0.000254,w
1000,0.000166,w
1000,0.000141,w
1000,0.000105,w
5000,0.001029,w
5000,0.000619,w
5000,0.000586,w
5000,0.000641,w
5000,0.000614,w
5000,0.000746,w
5000,0.000632,w
5000,0.000831,w
5000,0.000590,w
5000,0.000918,w
5000,0.000684,w
5000,0.000578,w
5000,0.000611,w
5000,0.000597,w
5000,0.000549,w
5000,0.000678,w
5000,0.000680,w
5000,0.000550,w
5000,0.000563,w
5000,0.000549,w
10000,0.002445,w
10000,0.004373,w
10000,0.001790,w
10000,0.002289,w
10000,0.002906,w
10000,0.001372,w
10000,0.001372,w
10000,0.001353,w
10000,0.001554,w
10000,0.001808,w
10000,0.001519,w
10000,0.001379,w
10000,0.001441,w
10000,0.001293,w
10000,0.001525,w
10000,0.001638,w
10000,0.001315,w
10000,0.001943,w
10000,0.001304,w
10000,0.001284,w
