size,time,case
25,0.000025,w
25,0.000003,w
25,0.000004,w
25,0.000005,w
25,0.000006,w
25,0.000003,w
25,0.000003,w
25,0.000003,w
25,0.000002,w
25,0.000003,w
25,0.000002,w
25,0.000003,w
25,0.000002,w
25,0.000003,w
25,0.000002,w
25,0.000003,w
25,0.000003,w
25,0.000004,w
25,0.000005,w
25,0.000004,w
100,0.000018,w
100,0.000015,w
100,0.000016,w
100,0.000015,w
100,0.000013,w
100,0.000015,w
100,0.000017,w
100,0.000009,w
100,0.000009,w
100,0.000009,w
100,0.000009,w
100,0.000008,w
100,0.000009,w
100,0.000009,w
100,0.000031,w
100,0.000009,w
100,0.000009,w
100,0.000009,w
100,0.000012,w
100,0.000015,w
500,0.000052,w
500,0.000048,w
500,0.000048,w
500,0.000048,w
500,0.000069,w
500,0.000047,w
500,0.000048,w
500,0.000072,w
500,0.000048,w
500,0.000076,w
500,0.000048,w
500,0.000048,w
500,0.000079,w
500,0.000087,w
500,0.000083,w
500,0.000088,w
500,0.000088,w
500,0.000091,w
500,0.000077,w
500,0.000077,w
500,0.000105,w
500,0.000082,w
500,0.000080,w
500,0.000087,w
500,0.000091,w
500,0.000112,w
500,0.000072,w
500,0.000162,w
500,0.000085,w
500,0.000084,w
500,0.000088,w
500,0.000086,w
500,0.000050,w
500,0.000072,w
500,0.000075,w
500,0.000080,w
500,0.000076,w
500,0.000072,w
500,0.000075,w
500,0.000077,w
1000,0.000171,w
1000,0.000171,w
1000,0.000150,w
1000,0.000198,w
1000,0.000180,w
1000,0.000183,w
1000,0.000104,w
1000,0.000102,w
1000,0.000102,w
1000,0.000102,w
1000,0.000102,w
1000,0.000102,w
1000,0.000102,w
1000,0.000160,w
1000,0.000102,w
1000,0.000102,w
1000,0.000102,w
1000,0.000102,w
1000,0.000103,w
1000,0.000102,w
5000,0.000952,w
5000,0.000976,w
5000,0.000967,w
5000,0.000908,w
5000,0.000599,w
5000,0.000778,w
5000,0.001855,w
5000,0.000655,w
5000,0.000689,w
5000,0.000662,w
5000,0.000720,w
5000,0.000674,w
5000,0.001027,w
5000,0.001113,w
5000,0.000937,w
5000,0.000984,w
5000,0.000688,w
5000,0.001190,w
5000,0.000609,w
5000,0.000614,w
10000,0.001897,w
10000,0.002077,w
10000,0.001983,w
10000,0.001368,w
10000,0.001221,w
10000,0.001169,w
10000,0.001196,w
10000,0.001188,w
10000,0.001385,w
10000,0.001187,w
10000,0.001240,w
10000,0.001398,w
10000,0.001174,w
10000,0.001169,w
10000,0.001329,w
10000,0.001339,w
10000,0.001186,w
10000,0.001284,w
10000,0.001253,w
10000,0.001186,w
