size,time
100,0.000012
100,0.000009
100,0.000008
100,0.000009
100,0.000011
100,0.000009
100,0.000009
100,0.000008
100,0.000009
100,0.000008
1000,0.000191
1000,0.000102
1000,0.000104
1000,0.000103
1000,0.000098
1000,0.000080
1000,0.000085
1000,0.000112
1000,0.000081
1000,0.000081
10000,0.001455
10000,0.001316
10000,0.001072
10000,0.001102
10000,0.001110
10000,0.001083
10000,0.001370
10000,0.001174
10000,0.001176
10000,0.001241
100000,0.016015
100000,0.013897
100000,0.013721
100000,0.014497
100000,0.013078
100000,0.013144
100000,0.013281
100000,0.013003
100000,0.013104
100000,0.014000
