size,time
100,0.000027
100,0.000025
100,0.000026
100,0.000025
100,0.000026
100,0.000026
100,0.000024
100,0.000025
100,0.000024
100,0.000026
1000,0.001920
1000,0.001732
1000,0.001550
1000,0.001538
1000,0.001668
1000,0.001531
1000,0.001523
1000,0.001552
1000,0.001549
1000,0.001557
10000,0.128226
10000,0.224844
10000,0.229669
10000,0.176161
10000,0.163000
10000,0.165075
10000,0.222868
10000,0.152030
10000,0.152209
10000,0.227799
100000,16.307494
100000,15.986100
100000,17.216101
100000,15.418511
100000,17.086793
100000,15.581698
100000,16.944300
100000,15.178023
100000,17.155380
100000,14.820663
